tx,stim,Well,OD_450,OD_540,OD_570,PB_24,FR_24,corrected,loganswer,conc,below,above,Ro_conc,batch,pAldo,pPB,pFR
1,stim,D10,0.24,0.044,0.043,373,50,0.196,3.016440490531536,1030.8705083797743,FALSE,FALSE,1,C,71.5217413932539,86.2095531587057,102.38907849829351
2.5,stim,E10,0.334,0.046,0.044,367,51,0.28800000000000003,2.6694099778362994,459.3893468455538,FALSE,FALSE,2.5,C,31.87240860692,84.8228043143297,104.43686006825938
5,stim,F10,0.53,0.048,0.044,292,44,0.48200000000000004,2.1391183948068355,130.04772462829862,FALSE,FALSE,5,C,9.02270426211444,67.4884437596302,90.10238907849829
DMSO,stim,A11,0.271,0.045,0.043,449,44,0.22600000000000003,2.890480391680489,769.3954597383099,FALSE,FALSE,0,C,53.3806163366103,103.775038520801,90.10238907849829
0.1,stim,B11,0.211,0.044,0.042,442,50,0.16699999999999998,3.155636087633343,1423.277543510165,FALSE,FALSE,0.1,C,98.746920753172,102.157164869029,102.38907849829351
0.5,stim,C11,0.222,0.044,0.042,366,47,0.178,3.1004505933097133,1252.5214897459932,FALSE,FALSE,0.5,C,86.8998747669127,84.5916795069337,96.2457337883959
1,stim,D11,0.263,0.044,0.042,344,47,0.21900000000000003,2.9185113313062323,821.2067714710901,FALSE,FALSE,1,C,56.9752824065722,79.5069337442219,96.2457337883959
2.5,stim,E11,0.342,0.045,0.042,333,47,0.29700000000000004,2.640541202873064,429.34937031007433,FALSE,FALSE,2.5,C,29.788236622403,76.9645608628659,96.2457337883959
5,stim,F11,0.596,0.042,0.037,269,37,0.5539999999999999,1.9628608939126586,84.0930777811621,FALSE,FALSE,5,C,5.8343732924129,62.1725731895223,75.7679180887372
DMSO,stim,A12,0.246,0.045,0.043,438,48,0.201,2.994325102937768,979.3072963005333,FALSE,FALSE,0,C,67.9442884641433,101.232665639445,98.29351535836177
0.1,stim,B12,0.223,0.047,0.045,349,49,0.176,3.110250521579269,1281.282117231339,FALSE,FALSE,0.1,C,88.8952855819409,80.6625577812018,100.34129692832764
0.5,stim,C12,0.199,0.042,0.041,457,49,0.157,3.2087501082215355,1609.438494861327,FALSE,FALSE,0.5,C,111.662757719918,105.624036979969,100.34129692832764
1,stim,D12,0.253,0.035,0.033,433,53,0.218,2.9225784196869666,829.0058943194636,FALSE,FALSE,1,C,57.5163851376342,100.077041602465,108.53242320819112
2.5,stim,E12,0.337,0.036,0.033,385,49,0.30100000000000005,2.6279201346198984,416.83071287891505,FALSE,FALSE,2.5,C,28.9196928313992,88.9830508474576,100.34129692832764
5,stim,F12,0.548,0.037,0.032,349,47,0.511,2.0681282163779646,109.27369917331733,FALSE,FALSE,5,C,7.58140347388714,80.6625577812018,96.2457337883959
